# T   Vh_ref  Delta  VZ  HLinShr  VShr  VLinShr  VGust
0      9.0    0.0    0     0.0     0.20   0.0     0.0
15     9.0    0.0    0     0.0     0.20   0.0     0.0
15.01  10.0   0.0    0     0.0     0.20   0.0     0.0
