# T   Vh_ref  Delta  VZ  HLinShr  VShr  VLinShr  VGust
0      6.0    0.0    0     0.0     0.20   0.0     0.0
120     6.0    0.0    0     0.0     0.20   0.0     0.0
120.01  7.0    0.0    0     0.0     0.20   0.0     0.0
